name,status
2 Fast 2 Furious,SEEN
3 Idiots,UNSEEN
"3rd Man, The",UNSEEN
8 Mile,UNSEEN
10 Cloverfield Lane,UNSEEN
12 Angry Men,UNSEEN
12 Monkeys,UNSEEN
12 Years A Slave,UNSEEN
21 Jump Street (2012),SEEN
22 Jump Street,SEEN
30 Minutes Or Less,SEEN
47 Ronin,SEEN
2001: A Space Odyssey,UNSEEN
A Beautiful Mind,UNSEEN
A Clockwork Orange,UNSEEN
A Good Day to Die Hard,SEEN
A Knight's Tale,SEEN
A Man Called Tiger,UNSEEN
A Nightmare On Elm Street,UNSEEN
A Quiet Place,UNSEEN
A Vast of Night,UNSEEN
"Accountant, The",SEEN
Airplane,UNSEEN
Airplane 2,UNSEEN
Akira,UNSEEN
Alien,SEEN
Aliens,UNSEEN
Alita: Battle Angel,SEEN
Always Be My Maybe,SEEN
"Amazing Spider-Man, The",SEEN
"Amazing Spider-Man 2, The",SEEN
Amelie,UNSEEN
American Animals,SEEN
American Beauty,UNSEEN
American History X,UNSEEN
American Pie,SEEN
American Psycho,SEEN
An American Werewolf In London,UNSEEN
Anchorman,SEEN
Anchorman 2: The Legend Continues,SEEN
Annihilation,UNSEEN
Ant-Man (MCU,SEEN
),UNSEEN
Ant-Man And The Wasp (MCU),SEEN
Apocalypse Now,SEEN
Arkansas,SEEN
Army Of Darkness,UNSEEN
ARQ,SEEN
Arrival,UNSEEN
Atomic Blonde,SEEN
Ava,SEEN
"Avengers, The (MCU)",SEEN
Avengers; Age of Ultron (MCU),SEEN
Avengers; Infinity War (MCU),SEEN
Avengers; Endgame (MCU),SEEN
"Babadook, The",SEEN
Baby Driver,SEEN
"Baker, The",SEEN
Back To The Future,SEEN
Back To The Future Part II,SEEN
Back To The Future Part III,SEEN
Bad Neighbours,SEEN
"Ballad Of Buster Scruggs, The",SEEN
"Bandit, The",UNSEEN
Batman v Superman: Dawn Of Justice,SEEN
Bee Movie,SEEN
Beetlejuice,SEEN
Begin Again,SEEN
Being John Malkovich,SEEN
Beyond The Black Rainbow,UNSEEN
Bicycle Thieves,UNSEEN
"Big Lebowski, The",SEEN
"Big Short, The",SEEN
"Big Sick, The",SEEN
Big Trouble In Little China,UNSEEN
Big Wednesday,UNSEEN
Bill and Ted's Excellent Adventure,UNSEEN
Bill and Ted's Bogus Journey,UNSEEN
Birdman,SEEN
BlacKkKlansman,SEEN
Black Mirror: Bandersnatch,SEEN
Black Panther (MCU),SEEN
Black Snake Moan,UNSEEN
Blade Runner,SEEN
Blade Runner 2049,SEEN
"Blues Brothers, The",SEEN
"Boat That Rocked, The",SEEN
Bone Tomahawk,UNSEEN
Borat,SEEN
Borat: Subsequent Moviefilm,UNSEEN
"Bourne Identity, The",SEEN
"Bourne Legacy, The",SEEN
"Bourne Supremacy, The",SEEN
"Bourne Ultimatum, The",SEEN
Boyhood,UNSEEN
Braveheart,UNSEEN
Brawl In Cell Block 99,UNSEEN
"Breakfast Club, The",SEEN
Bright,SEEN
Brokeback Mountain,UNSEEN
Bruce Almighty,SEEN
Bruno,UNSEEN
Burn After Reading,SEEN
Butch Cassidy And The Sundance Kid,UNSEEN
Cade's County - A Gun For Billy,UNSEEN
"Campaign, The",SEEN
Capote,UNSEEN
Captain America; Civil War (MCU),SEEN
Captain America; The First Avenger (MCU),SEEN
Captain America; The Winter Soldier (MCU),SEEN
Captain Marvel (MCU),SEEN
Cargo,UNSEEN
Carny,UNSEEN
Carrie,UNSEEN
Casablanca,UNSEEN
Chef,SEEN
Chicago,SEEN
Children Of Men,UNSEEN
Chinatown,UNSEEN
Citizen Kane,UNSEEN
City Lights (Charlie Chaplin),UNSEEN
City Of God,UNSEEN
Clear And Present Danger,UNSEEN
Close Encounters Of  A Third Kind,UNSEEN
Cloud Atlas,SEEN
Colossal,SEEN
Coogan's Bluff & The Beguiled & Catlow,UNSEEN
Cool Hand Luke,UNSEEN
Cowboys & Aliens,SEEN
Crocodile Dundee,SEEN
Cuban Fury,SEEN
Cube,SEEN
Cube 2: Hypercube,UNSEEN
Cube Zero,UNSEEN
Daft Punk Unchained (Doc),UNSEEN
Daisy Miller,UNSEEN
Dallas Buyers Club,SEEN
"Darjeeling Limited, The",SEEN
Das Boot,UNSEEN
"Davinci Code, The",SEEN
"Dead Don't Die, The",UNSEEN
Dead In A Week Or Your Money Back,SEEN
Deadpool,SEEN
Deadpool 2,SEEN
Death Note,SEEN
"Death Of Stalin, The",SEEN
"Deer Hunter, The",UNSEEN
"Departed, The",UNSEEN
"Dictator, The",SEEN
Die Hard,SEEN
Die Hard 2,SEEN
District 9,SEEN
Divergent,SEEN
"Divergent Series: Allegiant, The",SEEN
"Divergent Series: Insurgent, The",SEEN
Django Unchained,SEEN
